what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1608160668177
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1608160668178
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1608160668179
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1608160668180
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1608160668180
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1608160668182
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1608160668183
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1608160668185
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1608160668186
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1608160668187
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1608160668189
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1608160668190
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1608160668191
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1608160668192
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1608160668194
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1608160668195
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1608160668197
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1608160668197
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1608160668198
started,bundle,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.resources",1608160668199
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1608160668200
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1608160668201
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1608160668202
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1608160668204
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1608160668205
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1608160668214
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1608160668215
started,bundle,com.altera.sbtgui.integration,11.1.0.259,"com.altera.sbtgui.integration",1608160668215
started,bundle,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch",1608160668216
started,bundle,com.altera.sbtgui.project,11.1.0.259,"com.altera.sbtgui.project",1608160668217
started,bundle,com.altera.sbtgui.ui,11.1.0.259,"com.altera.sbtgui.ui",1608160668217
started,bundle,com.altera.systemconsole,11.1.0.259,"com.altera.systemconsole",1608160668218
started,bundle,com.altera.utilities,11.1.0.259,"com.altera.utilities",1608160668218
os,sysinfo,,,"win32",1608160668220
arch,sysinfo,,,"x86",1608160668220
ws,sysinfo,,,"win32",1608160668220
locale,sysinfo,,,"fr_FR",1608160668220
processors,sysinfo,,,"8",1608160668220
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1608160668220
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1608160668220
java.specification.name,sysinfo,,,"Java Platform API Specification",1608160668220
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1608160668220
java.specification.version,sysinfo,,,"1.6",1608160668220
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1608160668220
java.version,sysinfo,,,"1.6.0_23",1608160668220
java.vm.info,sysinfo,,,"mixed mode",1608160668220
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1608160668220
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1608160668220
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1608160668220
java.vm.specification.version,sysinfo,,,"1.0",1608160668220
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1608160668220
java.vm.version,sysinfo,,,"19.0-b09",1608160668220
activated,view,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.internal.introview",1608160670138
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1608160670140
started,bundle,com.altera.sbtgui.core,11.1.0.259,"com.altera.sbtgui.core",1608160683943
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1608160684094
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1608160684215
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1608160684249
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608160684491
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608160709308
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608160711204
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1608160713228
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608160714244
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608160714743
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,7.0.0.201009141542,"org.eclipse.cdt.managedbuilder.gnu.ui",1608160714839
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608160721575
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1608160732000
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1608160732061
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608160733866
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608160750039
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608160750377
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608160753729
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201009141542,"org.eclipse.cdt.debug.core",1608160756941
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui",1608160756951
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608160765337
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608160768974
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1608160768982
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608160772791
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608160774215
started,bundle,org.eclipse.cdt.launch,6.1.0.201009141542,"org.eclipse.cdt.launch",1608160779927
started,bundle,com.altera.debug.cdi.gdb.plugin,11.1.0.259,"com.altera.debug.cdi.gdb.plugin",1608160782931
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608160783021
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608160807671
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1608160807681
